objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,desc_tipo_ruta_troncal,tipo_operacion,desc_tipo_bus_ruta_troncal,horario_lunes_viernes,horario_sabado,horario_domingo_festivo,estado_ruta_troncal,longitud_comercial,longitud_ruta_troncal,log_replica,created_user,created_date,last_edited_user,last_edited_date,tipo_ruta_troncal,tipo_bus_ruta_troncal,globalid,shape_Length
23,5-2,5 P,5,PORTAL AMÉRICAS,CALLE 22,TRONCAL,Normal,ARTICULADO,04:00 - 23:00,04:00 - 23:00,04:00 - 22:00,OPERATIVA,14.924,14.89605799,,,,editorTroncal,2024/01/22 18:05:46+00,1,1,{71AB28D0-6251-4648-AD4F-0B01CDE4E3B1},14896.0579929791
24,H15,H15,CH15,PORTAL SUBA,PORTAL TUNAL,TRONCAL,Normal,BIARTICULADO,05:30 - 23:00,05:30 - 23:00,04:30 - 22:00,OPERATIVA,27.767,27.777124,,,,editorTroncal,2024/01/22 18:05:39+00,1,2,{8833C8E9-E39C-46E0-8D48-EB3115F923CB},27777.1239964519
25,B16,B16,BK16,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,TERMINAL,TRONCAL,Normal,BIARTICULADO,05:30 - 22:30,05:30 - 22:00,0,OPERATIVA,26.588,26.59761671,,,,editorTroncal,2024/12/27 13:43:10+00,1,2,{E17455F9-7941-4DCD-8E44-711571BD4ABB},26597.6167111604
26,G12,G12,BG12,PORTAL NORTE,PORTAL SUR - JFK Coop. Financiera,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,26.797,26.80601025,,,,editorTroncal,2024/01/22 18:05:40+00,1,2,{317F3F1E-0DA6-4E3C-9FB3-7654BB3EF484},26806.010247655
27,K43C,K43C,GK43,SAN MATEO - CC UNISUR,CAD,TRONCAL,Refuerzo,BIARTICULADO,04:00 - 09:00,0,0,OPERATIVA,15.4,16.11490875,,,,editorTroncal,2024/01/22 18:05:41+00,1,2,{16A35286-58A7-4ED0-B605-D483EA2427FB},16114.9087542972
28,B18,B18,BL18,PORTAL 20 DE JULIO,TERMINAL,TRONCAL,Normal,BIARTICULADO,04:30 - 22:00,04:30 - 21:30,0,OPERATIVA,25.29,25.62743286,,,,editorTroncal,2024/01/22 18:05:41+00,1,2,{9F22D2BE-8006-4CFC-8B93-B8316AFC887B},25627.4328565622
29,M47,M47,GM47,PORTAL SUR - JFK Coop. Financiera,MUSEO NACIONAL - FNG,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,04:30 - 23:00,04:00 - 22:00,OPERATIVA,13.878,13.92884915,,,,editorTroncal,2024/12/05 17:37:27+00,1,2,{94E0AA2D-CF4C-4BF0-A63A-0F1F718DFE7F},13928.8491499474
30,L25,L25,CL25,PORTAL SUBA,PORTAL 20 DE JULIO,TRONCAL,Normal,BIARTICULADO,05:00 - 22:00,05:00 - 20:00,05:00 - 22:00,OPERATIVA,25.309,25.31667239,,,,editorTroncal,2024/09/13 15:23:35+00,1,2,{15133ECD-AC06-4971-9E44-9B714C4FC403},25316.6723856381
31,E32,E32,EF32,PORTAL AMÉRICAS,CALLE 75 - ZONA M,TRONCAL,Normal,ARTICULADO,04:00 - 21:00,04:00 - 20:00,0,OPERATIVA,19.12,20.45105122,,,,editorTroncal,2024/01/22 18:05:43+00,1,2,{77D909BF-3E57-4504-8113-1AD3857E59DE},20451.0512192642
32,D22,D22,DG22,PORTAL SUR - JFK Coop. Financiera,PORTAL 80,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,04:30 - 23:00,05:30 - 22:00,OPERATIVA,23.657,23.67580712,,,,editorTroncal,2024/01/22 18:05:44+00,1,2,{114D499D-A56B-4C27-82D9-D3B42B7C56FE},23675.8071213956
33,H27,H27,BH27,PORTAL NORTE,PORTAL TUNAL,TRONCAL,Normal,BIARTICULADO,6:00-9:00/15:00-20:0,0,0,OPERATIVA,25.78,25.78834035,,,,editorTroncal,2024/01/22 18:05:45+00,1,2,{B88E4C74-3A9E-4C5C-9FFB-B53B264EDBCE},25788.3403517338
34,K43,K43,GK43,SAN MATEO - CC UNISUR,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,TRONCAL,Normal,BIARTICULADO,04:00 - 23:00,04:00 - 23:00,04:00 - 22:00,OPERATIVA,23.74,24.46176437,,,,editorTroncal,2024/12/27 13:43:55+00,1,2,{7ADE8FBD-3914-4828-9C3B-B56088219CB3},24461.7643713469
35,C19,C19,CF19,BANDERAS,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,05:00 - 22:00,05:30 - 22:00,0,OPERATIVA,27.2,28.6959115,,,,editorTroncal,2024/09/13 15:24:57+00,1,2,{8D50A55E-AE0A-4A19-83B7-55D4DA5C9817},28695.9114960441
36,B74,B74,BJ74,LAS AGUAS - CENTRO COLOMBO AMERICANO,PORTAL NORTE,TRONCAL,Normal,ARTICULADO,06:00 - 22:30,07:00 - 20:30,0,OPERATIVA,18.827,17.30408988,,,,editorTroncal,2024/01/22 18:05:48+00,1,1,{8C0BE84B-DC93-436E-BCDC-8AFE260CD8CC},17304.0898759801
37,F19,F19,CF19,PORTAL SUBA,BANDERAS,TRONCAL,Normal,BIARTICULADO,04:30 - 22:00,04:30 - 22:00,0,OPERATIVA,27.298,27.30774215,,,,editorTroncal,2024/09/13 15:20:56+00,1,2,{7520290A-1523-486B-8738-469B8D380AD3},27307.7421506107
38,J74,J74,BJ74,PORTAL NORTE,LAS AGUAS - CENTRO COLOMBO AMERICANO,TRONCAL,Normal,ARTICULADO,05:30 - 21:30,06:30 - 20:30,0,OPERATIVA,19.237,19.24351493,,,,editorTroncal,2024/01/22 18:05:52+00,1,1,{AC67D931-1013-4B92-AD1F-1A6DCD859645},19243.5149260017
39,K54,K54,HK54,PORTAL USME,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,TRONCAL,Normal,BIARTICULADO,04:30 - 22:30,04:30 - 22:30,0,OPERATIVA,23.393,23.40077004,,,,editorTroncal,2024/12/27 13:43:55+00,1,2,{B09CD5AB-59D1-4870-B6E6-DD73D9C7C4C9},23400.7700408663
40,G43,G43,GK43,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,SAN MATEO - CC UNISUR,TRONCAL,Normal,BIARTICULADO,05:00 - 23:00,05:00 - 23:00,04:30 - 22:00,OPERATIVA,24.743,24.74935559,,,,editorTroncal,2024/12/27 13:43:10+00,1,2,{0255C508-4C11-4220-BC0F-4055D7904190},24749.355588931
41,G45,G45,GG45,PORTAL SUR - JFK Coop. Financiera,SAN MATEO - CC UNISUR,TRONCAL,Normal,ARTICULADO,5:00-8:00/16:30-21:3,05:00 - 08:00,0,OPERATIVA,4.476,4.47782336,,,,editorTroncal,2024/01/22 18:05:53+00,1,1,{83CDB9A9-D5EB-4515-BE95-7F0A999B2440},4477.82335785931
42,3-1,3 C,3,CORFERIAS,PORTAL TUNAL,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,13.51443629,13.51443629,,editorTroncal,2023/05/17 19:23:16+00,editorTroncal,2024/02/13 19:47:16+00,1,1,{06870F51-5562-40C9-A8DE-980AB2F246E4},13514.4362864326
43,H73,H73,H73,TOBERIN - FOUNDEVER,PORTAL TUNAL,TRONCAL,Normal,ARTICULADO,5:30-9:00/16:30-20:0,0,0,OPERATIVA,25.418,25.42429785,,,,editorTroncal,2024/01/22 18:05:51+00,1,1,{FC111FBC-39E5-469C-A25F-C04CDB10886D},25424.2978531719
44,8-1,8 G,8,GUATOQUE - VERAGUAS,TERMINAL,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,21.077,21.36424904,,,,editorTroncal,2024/01/22 18:05:53+00,1,1,{01F0CB16-77D6-4748-88B8-2699578C347A},21364.2490398137
45,C50,C50,BC50,CALLE 161,PORTAL SUBA,TRONCAL,Normal,ARTICULADO,16:30 - 20:00,0,0,OPERATIVA,20.215,20.22111342,,,,editorTroncal,2024/01/22 18:05:55+00,1,1,{B9C614DD-C342-4778-8910-E2A801A65F09},20221.1134180686
46,H20,H20,DH20,PORTAL 80,PORTAL USME,TRONCAL,Normal,BIARTICULADO,04:30 - 22:00,05:00 - 20:00,0,OPERATIVA,26.057,26.06301586,,,,editorTroncal,2024/01/22 18:05:55+00,1,2,{E92FFE04-ED5D-4764-91EC-2D1070331901},26063.0158594696
47,H54,H54,HK54,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,PORTAL USME,TRONCAL,Normal,BIARTICULADO,05:30 - 22:30,05:30 - 22:30,0,OPERATIVA,22.16,22.16685219,,,,editorTroncal,2024/12/27 13:43:10+00,1,2,{EFF32586-3958-47CA-9898-29829E509715},22166.8521941927
48,F32,F32,EF32,CALLE 75 - ZONA M,PORTAL AMÉRICAS,TRONCAL,Normal,ARTICULADO,05:00 - 22:00,05:00 - 20:00,0,OPERATIVA,18.31,18.31640235,,,,editorTroncal,2024/01/22 18:05:58+00,1,2,{480E6DE2-A86B-4CA0-8DF5-1B5E9C171B42},18316.402347027
49,B28,B28,BF28,PORTAL AMÉRICAS,PORTAL NORTE,TRONCAL,Normal,ARTICULADO,04:00 - 20:00,04:00 - 20:00,0,OPERATIVA,29.34,29.3991019,,,,editorTroncal,2024/01/22 18:05:58+00,1,1,{F8E1F019-C4E9-4464-9090-BE30D7367C3B},29399.1018968102
50,B72,B72,BH72,PORTAL USME,TOBERIN - FOUNDEVER,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,05:00 - 20:00,OPERATIVA,29.538,30.87291986,,,,editorTroncal,2024/01/22 18:05:59+00,1,1,{A1B61E0A-8FA7-4F21-8FE2-422B3066A9DD},30872.9198567151
51,K86ACV,K86ACV,MK86,AEROPUERTO EL DORADO,HACIENDA SANTA BARBARA,DUAL,Ciclovia,DUAL,0,0,07:00 - 14:00,OPERATIVA,7.434,9.95871904,,,,editorTroncal,2024/01/22 20:24:18+00,2,3,{C0AC5ECC-A507-4CC1-9BB7-146C4555E857},9958.71904149077
52,K10,K10,KL10,PORTAL 20 DE JULIO,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,TRONCAL,Normal,BIARTICULADO,04:00 - 23:00,04:00 - 23:00,04:30 - 22:00,OPERATIVA,18.829,18.83643503,,,,editorTroncal,2024/12/27 13:43:55+00,1,2,{BAB0C11F-AFD9-4168-849F-7FE16FF64971},18836.4350329928
54,C15,C15,CH15,PORTAL TUNAL,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,04:00 - 23:00,04:00 - 23:00,04:00 - 22:00,OPERATIVA,28.458,28.46717056,,,,editorTroncal,2024/01/22 18:06:04+00,1,2,{9E2665F2-8A50-4CF4-8D5D-6153C7279B48},28467.1705596766
55,B55,B55,BD55,PORTAL 80,TOBERIN - FOUNDEVER,TRONCAL,Normal,ARTICULADO,05:00 - 08:30,0,0,OPERATIVA,16.5,16.54923206,,editorTroncal,2023/11/03 17:10:16+00,editorTroncal,2024/02/13 19:31:16+00,1,1,{239121BF-DB23-4BDA-8B7C-44375E1B8DA2},16549.2320587792
56,D20,D20,DH20,PORTAL USME,PORTAL 80,TRONCAL,Normal,BIARTICULADO,05:00 - 22:00,06:00 - 20:00,0,OPERATIVA,26.538,26.54669535,,,,editorTroncal,2024/01/22 18:06:06+00,1,2,{D45F7E2C-01B7-4C3A-9EE3-A777D6717C18},26546.6953519497
57,H13,H13,BH13,PORTAL NORTE,PORTAL TUNAL,TRONCAL,Normal,ARTICULADO,05:30 - 22:00,06:30 - 22:00,0,OPERATIVA,25.73,25.73872585,,,,editorTroncal,2024/01/22 18:06:07+00,1,1,{6F48A78B-3CE3-4313-85CD-7620E27C976C},25738.725848779
58,K16,K16,BK16,TERMINAL,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,TRONCAL,Normal,BIARTICULADO,05:00 - 22:30,05:30 - 22:00,0,OPERATIVA,25.73,25.96585679,,,,editorTroncal,2024/12/27 13:43:55+00,1,2,{30AE6849-5A93-48FB-BE92-F6064B60314C},25965.8567908347
59,B46,B46,BG46,SAN MATEO - CC UNISUR,PORTAL NORTE,TRONCAL,Normal,BIARTICULADO,4:00-9:00/15:00-20:0,4:00-9:00/15:00-20:0,0,OPERATIVA,31.22,31.22707888,,,,editorTroncal,2024/01/22 18:06:09+00,1,2,{8CAEC269-E549-4871-B1A6-01CCB6AAF674},31227.0788783343
60,G46,G46,BG46,PORTAL NORTE,SAN MATEO - CC UNISUR,TRONCAL,Normal,BIARTICULADO,5:00-9:00/15:00-20:0,5:00-9:00/15:00-20:0,0,OPERATIVA,30.96,31.38266284,,,,editorTroncal,2024/01/22 18:06:10+00,1,2,{FF114DDC-450C-453D-9F5E-BCB4B7851B20},31382.662839297
61,F60,F60,AF60,CALLE 76 - SAN FELIPE,PORTAL AMÉRICAS,TRONCAL,Normal,BIARTICULADO,05:00 - 22:30,05:00 - 22:00,05:00 - 22:00,OPERATIVA,19.573,19.65764462,,,,editorTroncal,2024/01/22 18:06:10+00,1,2,{2454EFAA-0F3D-410A-A82D-DB1CD4E7177B},19657.6446249084
62,A60,A60,AF60,PORTAL AMÉRICAS,CALLE 76 - SAN FELIPE,TRONCAL,Normal,BIARTICULADO,04:30 - 21:30,04:30 - 21:30,04:00 - 22:00,OPERATIVA,20.317,24.25378592,,,,editorTroncal,2024/01/22 18:06:11+00,1,2,{1A4ADC5E-8DC6-4346-88B6-A4D80D90DA0E},24253.7859210676
63,F61,F61,AF61,CALLE 72,PORTAL AMÉRICAS,TRONCAL,Normal,BIARTICULADO,15:00 - 20:00,0,0,OPERATIVA,19.119,19.12542766,,,,editorTroncal,2024/01/22 18:06:11+00,1,2,{6DC4DA2E-EAF8-4C5D-A502-029E49B4AEBF},19125.4276555007
64,H83,H83,HM83,MUSEO NACIONAL - FNG,CL67D Sur - Av Caracas,DUAL,Normal,DUAL,05:00 - 23:00,05:00 - 22:30,05:00 - 22:00,OPERATIVA,14.987,14.99595632,,,,editorTroncal,2024/12/05 17:37:27+00,2,3,{DB38E746-0B93-4101-980F-AB12DDB981C7},14995.9563171497
65,D55,D55,BD55,TOBERIN - FOUNDEVER,PORTAL 80,TRONCAL,Normal,ARTICULADO,15:00 - 20:00,0,0,OPERATIVA,16.43,18.092932,,editorTroncal,2023/11/03 17:13:50+00,editorTroncal,2024/01/22 18:06:25+00,1,1,{6C2F1616-FEC6-43D7-B8F2-CC89C36F82A9},18092.9320004441
66,J23,J23,FJ23,PORTAL AMÉRICAS,LAS AGUAS - CENTRO COLOMBO AMERICANO,TRONCAL,Normal,BIARTICULADO,04:00 - 23:00,04:00 - 23:00,05:00 - 22:00,OPERATIVA,14.802,14.80643814,,editorTroncal,2024/01/18 21:39:16+00,editorTroncal,2024/01/22 18:06:25+00,1,2,{19FFC325-E212-40A8-B626-96D046BE827A},14806.4381439736
67,J23A,J23,FJ23,BANDERAS,LAS AGUAS - CENTRO COLOMBO AMERICANO,TRONCAL,Refuerzo,BIARTICULADO,05:30 - 07:45,0,0,OPERATIVA,10.64,10.64461546,"10,6446154606452",editorTroncal,2024/01/18 21:46:00+00,editorTroncal,2024/01/22 18:06:26+00,1,2,{3EB53CB5-CFB2-4EBC-8AE1-40027BC1B4F3},10644.6154606452
68,L82R,L82R,ML82,CLINICA EL BOSQUE,PORTAL 20 DE JULIO,DUAL,Refuerzo,DUAL,15:00 - 20:00,0,0,OPERATIVA,12.802,12.79502287,,,,editorTroncal,2024/01/22 20:24:17+00,2,3,{A575DD27-D231-4EA5-A770-80C89A503BB5},12795.0228714099
69,M82R,M82R,ML82,PORTAL 20 DE JULIO,CLINICA EL BOSQUE,DUAL,Refuerzo,DUAL,22:30 - 23:00,"22:30 - 23:00
",0,OPERATIVA,18.896,18.8848611,,,,editorTroncal,2024/01/22 20:24:18+00,2,3,{1E89E1D3-CA87-483E-A2EE-D95CEF6A8CC3},18884.8611046042
70,M83,M83,HM83,CL67D Sur - Av Caracas,MUSEO NACIONAL - FNG,DUAL,Normal,DUAL,04:30 - 23:00,04:30 - 22:30,04:30 - 22:00,OPERATIVA,14.441,14.45073704,,,,editorTroncal,2024/12/05 17:37:27+00,2,3,{A2DF24F2-39E6-40CC-882D-55763970ABD4},14450.7370419657
71,L81,L81,DL81,PUENTE DE GUADUA,PORTAL 20 DE JULIO,DUAL,Normal,DUAL,05:00 - 23:00,05:00 - 23:00,05:00 - 22:00 ,OPERATIVA,25.66033029,25.66033029,,editorTroncal,2023/04/04 15:11:29+00,editorTroncal,2024/01/22 20:24:20+00,2,3,{0A676AB8-45C9-4893-92DC-0CD44AEC57E6},25660.3302898884
72,D81,D81,DL81,PORTAL 20 DE JULIO,PUENTE DE GUADUA,DUAL,Normal,DUAL,05:00 - 23:00,05:00 - 23:00,05:00 - 22:00 ,OPERATIVA,23.50794587,23.50794587,,editorTroncal,2023/04/04 15:11:29+00,editorTroncal,2024/01/22 20:24:21+00,2,3,{963ABF6F-23E6-4419-BA94-0BE61D045D51},23507.9458703081
73,C84,C84,CM84,CALLE 72,ETB TIBABUYES,DUAL,Normal,DUAL,05:00 - 23:00,05:00 - 23:00,14:00 - 22:00 ,OPERATIVA,15.60474129,15.60474129,,editorTroncal,2023/06/27 20:42:02+00,editorTroncal,2024/01/22 20:24:21+00,2,3,{56517035-E283-4C70-AB6B-6B4C69372CD4},15604.7412875866
74,D81CV,D81CV,DL81,PORTAL 20 DE JULIO,PUENTE DE GUADUA,DUAL,Ciclovia,DUAL,0,0,06:00 - 14:00,OPERATIVA,24.90402426,24.90402426,,editorTroncal,2023/04/04 15:11:29+00,editorTroncal,2024/01/22 20:24:22+00,2,3,{CF5F625E-3A73-463E-921B-31146F468A04},24904.0242644138
75,K86A,K86A,K86A,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,HACIENDA SANTA BARBARA,DUAL,Refuerzo,DUAL,4:00 - 21:00,"4:00 - 18:00
",0,OPERATIVA,5.9,5.94427087,,editorTroncal,2024/01/22 20:33:09+00,editorTroncal,2024/12/27 13:43:10+00,2,3,{2C590553-7865-4921-B97D-1E788165828F},5944.27087035281
76,L81CV,L81CV,DL81,PUENTE DE GUADUA,PORTAL 20 DE JULIO,DUAL,Ciclovia,DUAL,0,0,06:00 - 14:00,OPERATIVA,25.6928853,25.6928853,,editorTroncal,2023/04/04 15:11:29+00,editorTroncal,2024/01/22 20:24:22+00,2,3,{D7EBB5C4-09F7-481F-B7FA-827717CA320F},25692.885296326
77,K86CV,K86CV,MK86,HACIENDA SANTA BARBARA,AEROPUERTO EL DORADO,DUAL,Ciclovia,DUAL,0,0,05:30 - 14:00,OPERATIVA,32.1765907,32.1765907,,editorTroncal,2023/06/27 20:42:02+00,editorTroncal,2024/01/22 20:24:23+00,2,3,{B453416A-0F68-4B40-8BAF-C1D609AC06A4},32176.5907016352
78,K86,K86,MK86,HACIENDA SANTA BARBARA,AEROPUERTO EL DORADO,DUAL,Normal,DUAL,04:30 - 22:00,04:30 - 22:00,04:30 - 21:00,OPERATIVA,26.01451048,26.01451048,,editorTroncal,2023/06/27 20:42:02+00,editorTroncal,2024/01/22 20:24:24+00,2,3,{7D2C645D-D197-4512-824B-13B47E96134A},26014.5104839985
79,M82CV,M82CV,ML82,PORTAL 20 DE JULIO,CLINICA EL BOSQUE,DUAL,Ciclovia,DUAL,0,0,06:00 - 14:00,OPERATIVA,42.197,21.52949468,,editorTroncal,2023/06/27 20:42:02+00,editorTroncal,2024/01/22 20:24:25+00,2,3,{21AC257F-5CF0-4509-AEDC-ADD2F124905D},21529.4946823047
