objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,desc_tipo_ruta_troncal,tipo_operacion,desc_tipo_bus_ruta_troncal,horario_lunes_viernes,horario_sabado,horario_domingo_festivo,estado_ruta_troncal,longitud_comercial,longitud_ruta_troncal,log_replica,created_user,created_date,last_edited_user,last_edited_date,tipo_ruta_troncal,tipo_bus_ruta_troncal,globalid,shape_Length
97,4-1,4 H,4,HÉROES,PORTAL SUR - JFK Coop. Financiera,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,18.996,19.2884104,,,,editorTroncal,2024/08/21 14:26:56+00,1,1,{41E54F3E-8AAB-459E-A1ED-8ECB3C818F66},19288.4104007883
98,G12GS,G12GS,BG12,PORTAL NORTE,GENERAL SANTANDER,TRONCAL,Refuerzo,BIARTICULADO,05:00 - 07:00,0,0,OPERATIVA,22.243,22.24982201,,,,editorTroncal,2024/02/13 19:25:19+00,1,2,{210DBF8B-518C-427A-9CCD-58DEC92123A1},22249.8220121418
99,A61,A61,AF61,PORTAL AMÉRICAS,CALLE 72,TRONCAL,Normal,BIARTICULADO,04:30 - 09:00,0,0,OPERATIVA,19.774,24.78600289,,,,editorTroncal,2024/02/13 19:27:51+00,1,2,{1687274E-1460-43DE-B6B0-EE83F2D2F7DE},24786.0028904753
100,G30,G30,CG30,PORTAL SUBA,PORTAL SUR - JFK Coop. Financiera,TRONCAL,Normal,BIARTICULADO,5:00-9:00/15:00-20:0,05:00 - 15:00,0,OPERATIVA,26.552,26.56000011,,,,editorTroncal,2024/02/13 19:36:14+00,1,2,{FAF52F01-2E09-4F8D-9394-445CB8F7429D},26560.0001078315
101,C30,C30,CG30,PORTAL SUR - JFK Coop. Financiera,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,5:00-9:00/15:00-20:0,05:00 - 15:00,0,OPERATIVA,27.547,27.55357869,,,,editorTroncal,2024/02/13 19:36:14+00,1,2,{105DACF6-D653-404C-9631-2369969C7CF6},27553.5786864204
102,5-1,5 C,5,CALLE 22,PORTAL AMÉRICAS,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,14.287,15.31580088,,,,editorTroncal,2024/02/13 19:37:14+00,1,1,{9126F440-FB60-4559-95DD-5C3F045715FA},15315.8008801994
103,B12,B12,BG12,PORTAL SUR - JFK Coop. Financiera,PORTAL NORTE,TRONCAL,Normal,BIARTICULADO,04:00 - 23:00,04:00 - 23:00,04:00 - 22:00,OPERATIVA,27.227,27.23350822,,,,editorTroncal,2024/02/13 19:38:21+00,1,2,{F14DB5C0-6DD7-4F8D-8A1D-3AFA28D2D114},27233.5082171506
104,H75,H75,BH75,PORTAL NORTE,PORTAL USME,TRONCAL,Normal,BIARTICULADO,05:00 - 23:00,05:00 - 23:00,04:30 - 22:00,OPERATIVA,28.322,28.32983361,,,,editorTroncal,2024/02/13 19:43:15+00,1,2,{3EDBFD10-A54A-481C-BF6F-D60EDA723AD3},28329.8336080551
105,G42,G42,EG42,7 DE AGOSTO,SAN MATEO - CC UNISUR,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,05:00 - 23:00,05:00 - 22:00,OPERATIVA,19.07,19.48601428,,,,editorTroncal,2024/08/05 13:55:35+00,1,2,{7BB00821-A22C-42CA-BA22-8129C852F1A1},19486.0142846123
106,3-2,3 P,3,PORTAL TUNAL,CORFERIAS,TRONCAL,Normal,ARTICULADO,"04:00 - 23:00
",04:00 - 23:00 ,04:00 - 22:00,OPERATIVA,14.61989165,14.61989165,,editorTroncal,2023/05/17 19:23:16+00,editorTroncal,2024/02/13 19:46:20+00,1,1,{F9CA265D-C215-48C3-85A6-0CAB230C6711},14619.8916511216
107,B75,B75,BH75,PORTAL USME,PORTAL NORTE,TRONCAL,Normal,ARTICULADO,04:00 - 23:00,04:00 - 23:00,04:00 - 22:00,OPERATIVA,29.21,29.21800064,,,,editorTroncal,2024/02/13 19:45:32+00,1,2,{D17E8E66-52EA-45ED-822F-9A3001CA5FFB},29218.0006379619
108,E42,E42,EG42,SAN MATEO - CC UNISUR,7 DE AGOSTO,TRONCAL,Normal,BIARTICULADO,04:00 - 23:00,04:00 - 23:00,04:00 - 22:00,OPERATIVA,19,19.3300585,,,,editorTroncal,2024/02/13 19:45:51+00,1,2,{76B3683C-B168-419E-824F-CD591E0BF449},19330.0585018689
109,H21,H21,DH21,PORTAL 80,PORTAL TUNAL,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,04:30 - 23:00,0,OPERATIVA,24.75,24.76762213,,editorTroncal,2024/02/13 19:59:18+00,editorTroncal,2024/02/13 20:03:03+00,1,2,{66B0A8C1-4501-441A-BB28-3C44D74FFCA1},24767.6221342661
110,1-2,1 P,1,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,UNIVERSIDADES – CITYU,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,10.634,10.98304712,,,,editorTroncal,2024/12/27 13:43:10+00,1,2,{C2495E46-CDA6-406C-BEB7-C59D2728A428},10983.0471195794
111,D21,D21,DH21,PORTAL TUNAL,PORTAL 80,TRONCAL,Normal,BIARTICULADO,04:00 - 23:00,04:00 - 23:00,0,OPERATIVA,24.92,24.93267739,,editorTroncal,2024/02/13 19:59:19+00,editorTroncal,2024/02/13 20:04:56+00,1,2,{53D9F6D5-1803-4ADE-A0AC-49C34E5E1016},24932.6773943207
